  3929  1  3/07/8  3/11/8 ancient evenings                     5 mailer, norman                     
  9934  1  2/04/8  2/12/8 ancient evenings                     3 mailer, norman                     
   631  1  3/09/8  3/12/8 annals of klepsis                    1 lafferty                           
  5594  1  3/10/8  3/13/8 annals of klepsis                    3 lafferty, r. a.                    
  2615  1  3/16/8  3/20/8 annals of klepsis                    1 lafferty, r. a.                    
  1862  1  3/16/8  3/19/8 annals of klepsis                    2 lafferty, r. a.                    
  3258  1  3/03/8  3/07/8 annals of klepsis                    5 lafferty, r. a.                    
  5826  1  3/09/8  3/12/8 annals of klepsis                    1 lafferty, r. a.                    
  3022  1  3/16/8  3/20/8 anubis gates, the                    4 powers, tim                        
  3744  1  3/16/8  3/20/8 anubis gates, the                    5 powers, tim                        
  2196  1  3/12/8  3/14/8 anubis gates, the                    2 pwoers, tim                        
  8707  1  3/17/8  3/20/8 anubis gates, the                    3 powers, tim                        
  6675  1  3/16/8  3/18/8 anubis gates, the                    2 powers, tim                        
  3173  1  3/11/8  3/15/8 anubis gates, the                    1 powers, tim                        
  8335  1  2/13/8  2/19/8 anubis gates, the                    2 powers, tim                        
  7440  1  3/03/8  3/07/8 anubis gates, the                    5 powers, tim                        
  3644  1  3/08/8  3/11/8 anubis gates, the                    1 powers, tim                        
   985  1  2/10/8  2/12/8 anubis gates, the                    3 powers, tim                        
  9891  1  3/10/8  3/12/8 anubis gates, the                    1 powers, tim                        
  9718  1  3/08/8  3/11/8 anubis gates, the                    1 powers, tim                        
  9852  1  2/11/8  2/19/8 anubis gates, the                    5 powers, tim                        
   548  1  3/09/8  3/13/8 anubis gates, the                    2 powers, tim                        
  1417  1  3/17/8  3/20/8 anubis gates, the                    1 powers, tim                        
  7500  1  3/16/8  3/20/8 anubis gates, the                    3 powers, tim                        
   630  1  2/20/8  2/26/8 anubis gates, the                    2 powers, tim                        
  9601  1  3/08/8  3/13/8 anubis gates, the                    2 powers, tim                        
  6233  1  3/12/8  3/13/8 anubis gates, the                    5 powers, tim                        
  9121  1  2/28/8  3/04/8 anubis gates, the                    2 powers, tim                        
  2744  1  2/28/8  3/04/8 anubis gates, the                    1 powers, tim                        
  9255  1  3/13/8  3/14/8 anubis gates, the                    1 powers, tim                        
  3587  1  3/17/8  3/19/8 anubis gates, the                    2 powers, tim                        
    59  1  3/01/8  3/07/8 anubis gates, the                    5 powers, tim                        
  3656  1  3/14/8  3/17/8 anubis gates, the                    3 powers, tim                        
  6825  1  3/07/8  3/11/8 anubis gates, the                    2 powers, tim                        
  8390  1  3/16/8  3/20/8 anubis gates, the                    4 powers, tim                        
  8096  1  1/20/8  1/29/8 anubis gates, the                    2 powers, tim                        
  6064  1  3/12/8  3/14/8 anubis gates, the                    3 powers, tim                        
  7655  1  2/21/8  2/26/8 anubis gates, the                    4 powers, tim                        
   396  1  2/25/8  3/04/8 anubis gates, the                    1 powers, tim                        
  4447  1  3/06/8  3/07/8 anubis gates, the                    3 powers, tim                        
   625  1  3/16/8  3/19/8 anubis gates, the                    1 powers, tim                        
  9142  1  3/17/8  3/19/8 anubis gates, the                    2 powers, tim                        
  2765  1  3/12/8  3/15/8 anubis gates, the                    4 powers, tim                        
